# Regal (regmovies.com) theatre code -> our Cinema display name.
# Built from Regal's own roster (GET /api/theatres) matched to data/us/venues.json
# by venue coordinates + name tokens, then cross-checked against the theatre slug
# in https://www.regmovies.com/sitemap.xml (/theatres/<slug>-<code>). 394 of 396
# geo matches agreed with the sitemap slug independently; the rest were confirmed
# one by one. Recorded 2026-08-30.
#
# theatreCode	displayName	venueSlug	rosterName	city	state	ianaTimezone
1550	Regal UA Colorado Mills Lakewood	regal-ua-colorado-mills-lakewood	Colorado Mills 16 IMAX & RPX	Lakewood	CO	US/Mountain
1307	Regal UA Cottonwood	regal-ua-cottonwood	UA Cottonwood Stadium 16	Albuquerque	NM	US/Mountain
1306	Regal UA Galaxy Dallas	regal-ua-galaxy-dallas	UA Galaxy Theatre Stadium 10	Dallas	TX	US/Central
1290	Regal UA Grant Plaza	regal-ua-grant-plaza	UA Grant Plaza 9	Philadelphia	PA	US/Eastern
1333	Regal UA Kaufman Astoria	regal-ua-kaufman-astoria	Kaufman Astoria Stm 14 & RPX	Long Island City	NY	US/Eastern
1314	Regal UA Main Street Cinema	regal-ua-main-street-cinema	UA Main Street Theatre 6	Manayunk	PA	US/Eastern
1159	Regal UA Sheepshead Bay	regal-ua-sheepshead-bay	Sheepshead Stm 14 IMAX & RPX	Brooklyn	NY	US/Eastern
1813	Regal Ukiah	regal-ukiah	Regal Ukiah Stadium 6	Ukiah	CA	US/Pacific
1320	Regal Union Square New York	regal-union-square-new-york	Regal Union Square Stadium 14	New York	NY	US/Eastern
1025	Regal University Town Center	regal-university-town-center	University Town Center 6	Irvine	CA	US/Pacific
1038	Regal Valencia Stadium	regal-valencia-stadium	Valencia Stadium 12 & IMAX	Santa Clarita	CA	US/Pacific
1908	Regal Valley Mall Hagerstown	regal-valley-mall-hagerstown	Regal Valley Mall Stadium 16	Hagerstown	MD	US/Eastern
0670	Regal Valley River Eugene	regal-valley-river-eugene	Valley River Ctr Stm 15 & IMAX	Eugene	OR	US/Pacific
1867	Regal Valley View Grande Roanoke	regal-valley-view-grande-roanoke	Valley View Grande Stadium 16	Roanoke	VA	US/Eastern
1673	Regal Village at The Peaks Longmont	regal-village-at-the-peaks-longmont	Village At The Peaks 12 & RPX	Longmont	CO	US/Pacific
0147	Regal Village Park Carmel	regal-village-park-carmel	Village Park Stadium 17	Carmel	IN	US/Eastern
0165	Regal Virginia Center Glen Allen	regal-virginia-center-glen-allen	Regal Virginia Center Stadium	Glen Allen	VA	US/Eastern
1675	Regal Virginia Gateway Gainesville	regal-virginia-gateway-gainesville	Virginia Gateway Stm 14 & RPX	Gainesville	VA	US/Eastern
1821	Regal Visalia	regal-visalia	Regal Visalia Stadium 10	Visalia	CA	US/Pacific
0675	Regal Walden Galleria Stadium	regal-walden-galleria-stadium	Walden Galleria Stm 16 & RPX	Buffalo	NY	US/Eastern
1448	Regal Warren Broken Arrow	regal-warren-broken-arrow	Warren Broken Arrow 18	Broken Arrow	OK	US/Central
1444	Regal Warren East	regal-warren-east	Warren East 20	Wichita	KS	US/Central
1482	Regal Warren Midwest City	regal-warren-midwest-city	Regal Midwest City	Midwest City	OK	US/Central
1447	Regal Warren Moore	regal-warren-moore	Warren Moore 17 & IMAX	Moore	OK	US/Central
1443	Regal Warren West	regal-warren-west	Warren West 18 & IMAX	Wichita	KS	US/Central
0379	Regal Warrington Crossing	regal-warrington-crossing	Warrington Stadium 22 & IMAX	Warrington	PA	US/Eastern
1630	Regal Washington Park Bartlesville	regal-washington-park-bartlesville	Bartlesville Movies Stadium 8	Bartlesville	OK	US/Central
1281	Regal Washington Township	regal-washington-township	UA Washington Township 14	Sewell	NJ	US/Eastern
1703	Regal Waterford	regal-waterford	Regal Waterford 9	Waterford	CT	US/Eastern
0734	Regal Waterford Lakes Orlando	regal-waterford-lakes-orlando	Waterford Lakes Stm 20 & IMAX	Orlando	FL	US/Eastern
0542	Regal Waugh Chapel	regal-waugh-chapel	Waugh Chapel Stadium 12 & IMAX	Gambrills	MD	US/Eastern
1793	Regal Webster Place Chicago	regal-webster-place-chicago	Regal Webster Place 11	Chicago	IL	US/Central
1258	Regal Wekiva Apopka	regal-wekiva-apopka	Regal Wekiva Riverwalk 8	Apopka	FL	US/Eastern
0395	Regal West Manchester York	regal-west-manchester-york	West Manchester Stadium 13	York	PA	US/Eastern
1226	Regal West Tower Cinema Richmond	regal-west-tower-cinema-richmond	UA West Tower Cinemas 10	Richmond	VA	US/Eastern
1204	Regal Westbrook Brookhaven	regal-westbrook-brookhaven	UA Westbrook 4	Brookhaven	MS	US/Central
1273	Regal Westbury Stadium	regal-westbury-stadium	Westbury Stadium 12 IMAX & RPX	Westbury	NY	US/Eastern
1936	Regal Westchester Commons Midlothian	regal-westchester-commons-midlothian	Westchester Commons Stm 16	Midlothian	VA	US/Eastern
0709	Regal Westfork Plaza Pembroke Pines	regal-westfork-plaza-pembroke-pines	Regal Westfork Stadium 13	Pembroke Pines	FL	US/Eastern
0953	Regal Westgate Austin	regal-westgate-austin	Regal Westgate Stadium 11	Austin	TX	US/Central
1910	Regal Westview Frederick	regal-westview-frederick	Westview Stadium 16 & IMAX	Frederick	MD	US/Eastern
1876	Regal White Oak Garner	regal-white-oak-garner	Regal White Oak Stadium 14	Garner	NC	US/Eastern
1526	Regal Wilder	regal-wilder	Regal Wilder Stadium 14	Wilder	KY	US/Eastern
0679	Regal Willamette Town Center Salem	regal-willamette-town-center-salem	Willamette Town Center 11	Salem	OR	US/Pacific
0381	Regal Willoughby Commons	regal-willoughby-commons	Willoughby Commons Stm 16	Willoughby	OH	US/Eastern
1829	Regal Windward Kaneohe	regal-windward-kaneohe	Regal Windward Stadium 10	Kaneohe	HI	US/Hawaii
1992	Regal Winrock Albuquerque	regal-winrock-albuquerque	Winrock Stadium 16 IMAX & RPX	Albuquerque	NM	US/Mountain
0721	Regal Winter Park Village	regal-winter-park-village	Winter Park Village 20 & RPX	Winter Park	FL	US/Eastern
1430	Regal Yorba Linda	regal-yorba-linda	Regal Yorba Linda & IMAX	Yorba Linda	CA	US/Pacific
