# Cineworld UK: venue slug -> models.Cinema case object
# Roster: https://cms-assets.webediamovies.pro/prod/cineworld-cinemas/<date>/public/page-data/cinemas/page-data.json
#   (`result.data.page.childPages[].slug`/`.relatedEntity.id`) — the site relaunched
#   2026-09-17 onto Webedia's Gatsby "box office" platform (same one Showcase/Everyman
#   run); the old numeric `quickbook` venue id (chain 10108) is retired along with it.
# Captured 2026-09-18 (87 venues, same 87 Cinema case objects as the old map — matched by
#   venue name/city, one manual fix: "Chichester" -> "Chichester Gate", same venue renamed).
# Columns: slug, theaterId (== slug's leading segment, uppercased — derivable, kept for
#   readability), caseObject, ourDisplayName
g01a4-cineworld-cinema-london-hounslow	G01A4	CineworldLondonHounslow	Cineworld London Hounslow
x0x9f-cineworld-cinema-dalton-park	X0X9F	CineworldDaltonParkMurtonCounty	Cineworld Dalton Park (Murton County)
x0x9g-cineworld-cinema-harlow-harvey-centre	X0X9G	CineworldHarlowHarveyCentre	Cineworld Harlow (Harvey Centre)
x0y4c-cineworld-cinema-ely	X0Y4C	CineworldEly	Cineworld Ely
x0y86-cineworld-cinema-london-south-ruislip	X0Y86	CineworldSouthRuislip	Cineworld South Ruislip
x104v-cineworld-cinema-bracknell	X104V	CineworldBracknell	Cineworld Bracknell
x106z-cineworld-cinema-leeds-white-rose	X106Z	CineworldLeeds	Cineworld Leeds
x10kq-cineworld-cinema-weston-super-mare	X10KQ	CineworldWestonSuperMare	Cineworld Weston-super-Mare
x10r9-cineworld-cinema-dover	X10R9	CineworldDover	Cineworld Dover
x11bh-cineworld-cinema-speke	X11BH	CineworldSpeke	Cineworld Speke
x11db-cineworld-cinema-watford	X11DB	CineworldWatford	Cineworld Watford
x125z-cineworld-cinema-rushden-lakes	X125Z	CineworldRushdenLakes	Cineworld Rushden Lakes
x129j-cineworld-cinema-eastbourne-at-the-beacon	X129J	CineworldEastbourne	Cineworld Eastbourne
x12iu-cineworld-cinema-plymouth	X12IU	CineworldPlymouth	Cineworld Plymouth
x12iv-cineworld-cinema-warrington	X12IV	CineworldWarrington	Cineworld Warrington
x12iw-cineworld-cinema-york	X12IW	CineworldYork	Cineworld York

# OURS-WITH-NO-API-MATCH
# (none - all 87 Cineworld* case objects map to a venue on the new roster)
